Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
15.04.2023 22:15:00;15.04.2023 22:29:59;0,128;;;
15.04.2023 22:30:00;15.04.2023 22:44:59;0,128;;;
15.04.2023 22:45:00;15.04.2023 22:59:59;0,138;;;
15.04.2023 23:00:00;15.04.2023 23:14:59;0,124;;;
15.04.2023 23:15:00;15.04.2023 23:29:59;0,117;;;
15.04.2023 23:30:00;15.04.2023 23:44:59;0,121;;;
15.04.2023 23:45:00;15.04.2023 23:59:59;0,113;;;
16.04.2023 00:00:00;16.04.2023 00:14:59;0,109;;;
16.04.2023 00:15:00;16.04.2023 00:29:59;0,111;;;
16.04.2023 00:30:00;16.04.2023 00:44:59;0,129;;;
16.04.2023 00:45:00;16.04.2023 00:59:59;0,11;;;
16.04.2023 01:00:00;16.04.2023 01:14:59;0,106;;;
16.04.2023 01:15:00;16.04.2023 01:29:59;0,11;;;
16.04.2023 01:30:00;16.04.2023 01:44:59;0,126;;;
16.04.2023 01:45:00;16.04.2023 01:59:59;0,136;;;
16.04.2023 02:00:00;16.04.2023 02:14:59;0,135;;;
16.04.2023 02:15:00;16.04.2023 02:29:59;0,169;;;
16.04.2023 02:30:00;16.04.2023 02:44:59;0,135;;;
16.04.2023 02:45:00;16.04.2023 02:59:59;0,137;;;
16.04.2023 03:00:00;16.04.2023 03:14:59;0,134;;;
16.04.2023 03:15:00;16.04.2023 03:29:59;0,145;;;
16.04.2023 03:30:00;16.04.2023 03:44:59;0,131;;;
16.04.2023 03:45:00;16.04.2023 03:59:59;0,123;;;
16.04.2023 04:00:00;16.04.2023 04:14:59;0,122;;;
16.04.2023 04:15:00;16.04.2023 04:29:59;0,142;;;
16.04.2023 04:30:00;16.04.2023 04:44:59;0,134;;;
16.04.2023 04:45:00;16.04.2023 04:59:59;0,126;;;
16.04.2023 05:00:00;16.04.2023 05:14:59;0,125;;;
16.04.2023 05:15:00;16.04.2023 05:29:59;0,136;;;
16.04.2023 05:30:00;16.04.2023 05:44:59;0,135;;;
16.04.2023 05:45:00;16.04.2023 05:59:59;0,128;;;
16.04.2023 06:00:00;16.04.2023 06:14:59;0,128;;;
16.04.2023 06:15:00;16.04.2023 06:29:59;0,135;;;
16.04.2023 06:30:00;16.04.2023 06:44:59;0,125;;;
16.04.2023 06:45:00;16.04.2023 06:59:59;0,125;;;
16.04.2023 07:00:00;16.04.2023 07:14:59;0,131;;;
16.04.2023 07:15:00;16.04.2023 07:29:59;0,123;;;
16.04.2023 07:30:00;16.04.2023 07:44:59;0,107;;;
16.04.2023 07:45:00;16.04.2023 07:59:59;0,102;;;
16.04.2023 08:00:00;16.04.2023 08:14:59;0,124;;;
16.04.2023 08:15:00;16.04.2023 08:29:59;0,121;;;
16.04.2023 08:30:00;16.04.2023 08:44:59;0,109;;;
16.04.2023 08:45:00;16.04.2023 08:59:59;0,208;;;
16.04.2023 09:00:00;16.04.2023 09:14:59;0,106;;;
16.04.2023 09:15:00;16.04.2023 09:29:59;0,107;;;
16.04.2023 09:30:00;16.04.2023 09:44:59;0,048;;;
16.04.2023 09:45:00;16.04.2023 09:59:59;0,02;;;
