Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2026-04-04T10:45:00.000+02:00;11868,886;0,019;VAL;;;;;;
2026-04-04T11:00:00.000+02:00;11868,903;0,017;VAL;;;;;;
2026-04-04T11:15:00.000+02:00;11868,91;0,007;VAL;;;;;;
2026-04-04T11:30:00.000+02:00;11868,92;0,01;VAL;;;;;;
2026-04-04T11:45:00.000+02:00;11868,923;0,003;VAL;;;;;;
2026-04-04T12:00:00.000+02:00;11868,942;0,019;VAL;;;;;;
2026-04-04T12:15:00.000+02:00;11868,943;0,001;VAL;;;;;;
2026-04-04T12:30:00.000+02:00;11868,956;0,013;VAL;;;;;;
2026-04-04T12:45:00.000+02:00;11868,97;0,014;VAL;;;;;;
2026-04-04T13:00:00.000+02:00;11868,975;0,005;VAL;;;;;;
2026-04-04T13:15:00.000+02:00;11868,983;0,008;VAL;;;;;;
2026-04-04T13:30:00.000+02:00;11869,001;0,018;VAL;;;;;;
2026-04-04T13:45:00.000+02:00;11869,003;0,002;VAL;;;;;;
2026-04-04T14:00:00.000+02:00;11869,017;0,014;VAL;;;;;;
2026-04-04T14:15:00.000+02:00;11869,018;0,001;VAL;;;;;;
2026-04-04T14:30:00.000+02:00;11869,018;;VAL;;;;;;
2026-04-04T14:45:00.000+02:00;11869,018;;VAL;;;;;;
