sep=;
Anlagennummer;Zaehlpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;02.07.2023 21:00;02.07.2023 21:15;0,037;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 21:15;02.07.2023 21:30;0,039;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 21:30;02.07.2023 21:45;0,027;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 21:45;02.07.2023 22:00;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 22:00;02.07.2023 22:15;0,056;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 22:15;02.07.2023 22:30;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 22:30;02.07.2023 22:45;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 22:45;02.07.2023 23:00;0,046;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 23:00;02.07.2023 23:15;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 23:15;02.07.2023 23:30;0,012;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 23:30;02.07.2023 23:45;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;02.07.2023 23:45;03.07.2023 00:00;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 00:00;03.07.2023 00:15;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 00:15;03.07.2023 00:30;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 00:30;03.07.2023 00:45;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 00:45;03.07.2023 01:00;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 01:00;03.07.2023 01:15;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 01:15;03.07.2023 01:30;0,028;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 01:30;03.07.2023 01:45;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 01:45;03.07.2023 02:00;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 02:00;03.07.2023 02:15;0,021;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 02:15;03.07.2023 02:30;0,021;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 02:30;03.07.2023 02:45;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 02:45;03.07.2023 03:00;0,014;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 03:00;03.07.2023 03:15;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 03:15;03.07.2023 03:30;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 03:30;03.07.2023 03:45;0,01;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 03:45;03.07.2023 04:00;0,027;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 04:00;03.07.2023 04:15;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 04:15;03.07.2023 04:30;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 04:30;03.07.2023 04:45;0,02;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 04:45;03.07.2023 05:00;0,024;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 05:00;03.07.2023 05:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;03.07.2023 05:15;03.07.2023 05:30;0,014;KWH;VAL
