Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
03.10.2023 01:15:00;03.10.2023 01:29:59;0,058;;;
03.10.2023 01:30:00;03.10.2023 01:44:59;0,041;;;
03.10.2023 01:45:00;03.10.2023 01:59:59;0,046;;;
03.10.2023 02:00:00;03.10.2023 02:14:59;0,048;;;
03.10.2023 02:15:00;03.10.2023 02:29:59;0,042;;;
03.10.2023 02:30:00;03.10.2023 02:44:59;0,044;;;
03.10.2023 02:45:00;03.10.2023 02:59:59;0,037;;;
03.10.2023 03:00:00;03.10.2023 03:14:59;0,048;;;
03.10.2023 03:15:00;03.10.2023 03:29:59;0,046;;;
03.10.2023 03:30:00;03.10.2023 03:44:59;0,043;;;
03.10.2023 03:45:00;03.10.2023 03:59:59;0,044;;;
03.10.2023 04:00:00;03.10.2023 04:14:59;0,036;;;
03.10.2023 04:15:00;03.10.2023 04:29:59;0,043;;;
03.10.2023 04:30:00;03.10.2023 04:44:59;0,05;;;
03.10.2023 04:45:00;03.10.2023 04:59:59;0,04;;;
03.10.2023 05:00:00;03.10.2023 05:14:59;0,051;;;
03.10.2023 05:15:00;03.10.2023 05:29:59;0,031;;;
03.10.2023 05:30:00;03.10.2023 05:44:59;0,045;;;
03.10.2023 05:45:00;03.10.2023 05:59:59;0,051;;;
03.10.2023 06:00:00;03.10.2023 06:14:59;0,038;;;
03.10.2023 06:15:00;03.10.2023 06:29:59;0,052;;;
03.10.2023 06:30:00;03.10.2023 06:44:59;0,051;;;
03.10.2023 06:45:00;03.10.2023 06:59:59;0,121;;;
03.10.2023 07:00:00;03.10.2023 07:14:59;0,115;;;
03.10.2023 07:15:00;03.10.2023 07:29:59;0,087;;;
03.10.2023 07:30:00;03.10.2023 07:44:59;0,104;;;
03.10.2023 07:45:00;03.10.2023 07:59:59;0,074;;;
03.10.2023 08:00:00;03.10.2023 08:14:59;0,079;;;
03.10.2023 08:15:00;03.10.2023 08:29:59;0,088;;;
03.10.2023 08:30:00;03.10.2023 08:44:59;0,077;;;
03.10.2023 08:45:00;03.10.2023 08:59:59;0,089;;;
03.10.2023 09:00:00;03.10.2023 09:14:59;0,084;;;
03.10.2023 09:15:00;03.10.2023 09:29:59;0,019;;;
03.10.2023 09:30:00;03.10.2023 09:44:59;0;;;
03.10.2023 09:45:00;03.10.2023 09:59:59;0,002;;;
03.10.2023 10:00:00;03.10.2023 10:14:59;0,008;;;
03.10.2023 10:15:00;03.10.2023 10:29:59;0,01;;;
03.10.2023 10:30:00;03.10.2023 10:44:59;0;;;
