"Datum und Uhrzeit";"Lastgänge (306,499 kWh)";"Status"
"2023-06-12 19:45:00";0;"Wert ist gültig"
"2023-06-12 20:00:00";0;"Wert ist gültig"
"2023-06-12 20:15:00";0;"Wert ist gültig"
"2023-06-12 20:30:00";0.006;"Wert ist gültig"
"2023-06-12 20:45:00";0.127;"Wert ist gültig"
"2023-06-12 21:00:00";0.254;"Wert ist gültig"
"2023-06-12 21:15:00";0.694;"Wert ist gültig"
"2023-06-12 21:30:00";0.91;"Wert ist gültig"
"2023-06-12 21:45:00";0.297;"Wert ist gültig"
"2023-06-12 22:00:00";0.279;"Wert ist gültig"
"2023-06-12 22:15:00";0.25;"Wert ist gültig"
"2023-06-12 22:30:00";0.244;"Wert ist gültig"
"2023-06-12 22:45:00";0.124;"Wert ist gültig"
"2023-06-12 23:00:00";0.051;"Wert ist gültig"
"2023-06-12 23:15:00";0.064;"Wert ist gültig"
"2023-06-12 23:30:00";0.056;"Wert ist gültig"
"2023-06-12 23:45:00";0.037;"Wert ist gültig"
"2023-06-13 00:00:00";0.064;"Wert ist gültig"
"2023-06-13 00:15:00";0.073;"Wert ist gültig"
"2023-06-13 00:30:00";0.067;"Wert ist gültig"
"2023-06-13 00:45:00";0.083;"Wert ist gültig"
"2023-06-13 01:00:00";0.083;"Wert ist gültig"
"2023-06-13 01:15:00";0.091;"Wert ist gültig"
"2023-06-13 01:30:00";0.047;"Wert ist gültig"
"2023-06-13 01:45:00";0.059;"Wert ist gültig"
"2023-06-13 02:00:00";0.037;"Wert ist gültig"
"2023-06-13 02:15:00";0.04;"Wert ist gültig"
"2023-06-13 02:30:00";0.049;"Wert ist gültig"
"2023-06-13 02:45:00";0.063;"Wert ist gültig"
"2023-06-13 03:00:00";0.226;"Wert ist gültig"
